node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1,drug_resistance_1,drug_resistance_2
0,1.7718,1,7718,-1,#0000ff,0,0,0
417,.,7,-1,0,#0000ff,0,0,0
412,.,19,-1,417,#0000ff,0,0,0
12,78.4035,78,4035,412,#0000ff,0,0,0
404,.,22,-1,412,#0000ff,0,0,0
353,.,39,-1,404,#0000ff,0,0,0
6,60.4120,60,4120,353,#0000ff,0,0,0
50,171.6226,171,6226,353,#0000ff,0,0,0
385,.,30,-1,404,#0000ff,0,0,0
11,78.2852,78,2852,385,#0000ff,0,0,0
366,.,34,-1,385,#0000ff,0,0,0
75,227.2318,227,2318,366,#4000bf,0.2,0.0,0.0
361,.,35,-1,366,#0000ff,0,0,0
88,258.3115,258,3115,361,#4000bf,0.2,0.0,0.0
355,.,37,-1,361,#0000ff,0,0,0
31,125.8671,125,8671,355,#0000ff,0,0,0
90,265.1918,265,1918,355,#0000ff,0,0,0
411,.,20,-1,412,#0000ff,0,0,0
21,100.937,100,937,411,#0000ff,0,0,0
397,.,27,-1,411,#0000ff,0,0,0
4,55.898,55,898,397,#0000ff,0,0,0
390,.,29,-1,397,#0000ff,0,0,0
5,59.8444,59,8444,390,#0000ff,0,0,0
381,.,31,-1,390,#0000ff,0,0,0
311,.,331,-1,381,#4000bf,0.2,0.0,0.0
300,.,374,-1,311,#4000bf,0.2,0.0,0.0
141,466.6664,466,6664,300,#4000bf,0.2,0.0,0.0
294,.,398,-1,300,#4000bf,0.2,0.0,0.0
155,534.5168,534,5168,294,#4000bf,0.2,0.0,0.0
292,.,406,-1,294,#4000bf,0.2,0.0,0.0
143,494.1305,494,1305,292,#4000bf,0.2,0.0,0.0
149,516.5650,516,5650,292,#4000bf,0.2,0.0,0.0
310,.,332,-1,311,#4000bf,0.2,0.0,0.0
115,355.998,355,998,310,#4000bf,0.2,0.0,0.0
305,.,351,-1,310,#4000bf,0.2,0.0,0.0
117,371.5200,371,5200,305,#4000bf,0.2,0.0,0.0
131,431.5862,431,5862,305,#4000bf,0.2,0.0,0.0
349,.,40,-1,381,#0000ff,0,0,0
1,45.1622,45,1622,349,#0000ff,0,0,0
8,63.5163,63,5163,349,#0000ff,0,0,0
416,.,14,-1,417,#0000ff,0,0,0
59,187.1025,187,1025,416,#0000ff,0,0,0
89,259.4261,259,4261,416,#4000bf,0.2,0.0,0.0
363,.,35,-1,416,#0000ff,0,0,0
22,103.5247,103,5247,363,#0000ff,0,0,0
344,.,46,-1,363,#0000ff,0,0,0
66,204.5787,204,5787,344,#0000ff,0,0,0
318,.,315,-1,344,#4000bf,0.2,0.0,0.0
126,413.2919,413,2919,318,#4000bf,0.2,0.0,0.0
309,.,336,-1,318,#4000bf,0.2,0.0,0.0
142,466.2630,466,2630,309,#4000bf,0.2,0.0,0.0
303,.,356,-1,309,#4000bf,0.2,0.0,0.0
296,.,386,-1,303,#4000bf,0.2,0.0,0.0
293,.,402,-1,296,#4000bf,0.2,0.0,0.0
139,463.1488,463,1488,293,#4000bf,0.2,0.0,0.0
286,.,430,-1,293,#4000bf,0.2,0.0,0.2
173,582.1387,582,1387,286,#4000bf,0.2,0.0,0.2
196,657.6424,657,6424,286,#4000bf,0.2,0.0,0.2
295,.,393,-1,296,#4000bf,0.2,0.0,0.0
128,415.8039,415,8039,295,#80007f,0.4,0.0,0.0
137,461.5044,461,5044,295,#4000bf,0.2,0.0,0.0
297,.,384,-1,303,#4000bf,0.2,0.0,0.0
132,433.3260,433,3260,297,#4000bf,0.2,0.0,0.0
140,463.7706,463,7706,297,#4000bf,0.2,0.0,0.0
409,.,21,-1,416,#0000ff,0,0,0
51,171.7225,171,7225,409,#0000ff,0,0,0
78,241.8221,241,8221,409,#0000ff,0,0,0
415,.,15,-1,416,#0000ff,0,0,0
24,109.4619,109,4619,415,#0000ff,0.0,0.0,0.2
106,319.4172,319,4172,415,#0000ff,0,0,0
414,.,16,-1,415,#0000ff,0,0,0
112,344.7536,344,7536,414,#0000ff,0,0,0
129,420.5262,420,5262,414,#0000ff,0,0,0
346,.,43,-1,414,#0000ff,0,0,0
323,.,275,-1,346,#0000ff,0,0,0
98,287.2934,287,2934,323,#0000ff,0,0,0
316,.,322,-1,323,#80007f,0.4,0.0,0.0
256,.,503,-1,316,#c0003f,0.6000000000000001,0.0,0.2
202,671.6817,671,6817,256,#c0003f,0.6000000000000001,0.0,0.2
254,.,505,-1,256,#c0003f,0.6000000000000001,0.0,0.2
250,.,518,-1,254,#c0003f,0.6000000000000001,0.0,0.2
161,565.3752,565,3752,250,#c0003f,0.6000000000000001,0.0,0.2
233,.,627,-1,250,#ff0000,0.8,0.0,0.2
209,690.5812,690,5812,233,#ff0000,0.8,0.0,0.2
221,716.7202,716,7202,233,#ff0000,0.8,0.0,0.2
253,.,506,-1,254,#c0003f,0.6000000000000001,0.0,0.2
241,.,589,-1,253,#c0003f,0.6000000000000001,0.0,0.4
199,668.948,668,948,241,#c0003f,0.6000000000000001,0.2,0.4
236,.,609,-1,241,#c0003f,0.6000000000000001,0.0,0.4
190,635.4039,635,4039,236,#ff0000,0.8,0.0,0.4
212,700.3741,700,3741,236,#c0003f,0.6000000000000001,0.0,0.4
243,.,582,-1,253,#c0003f,0.6000000000000001,0.0,0.2
200,668.4754,668,4754,243,#ff0000,0.8,0.0,0.2
238,.,603,-1,243,#c0003f,0.6000000000000001,0.0,0.2
204,676.4172,676,4172,238,#c0003f,0.6000000000000001,0.0,0.2
227,728.8491,728,8491,238,#c0003f,0.6000000000000001,0.0,0.2
306,.,351,-1,316,#c0003f,0.6000000000000001,0.0,0.0
222,717.5834,717,5834,306,#c0003f,0.6000000000000001,0.0,0.0
289,.,426,-1,306,#c0003f,0.6000000000000001,0.0,0.0
287,.,430,-1,289,#c0003f,0.6000000000000001,0.0,0.0
136,457.8419,457,8419,287,#c0003f,0.6000000000000001,0.0,0.0
260,.,491,-1,287,#c0003f,0.6000000000000001,0.0,0.0
145,496.8547,496,8547,260,#c0003f,0.6000000000000001,0.0,0.0
245,.,566,-1,260,#c0003f,0.6000000000000001,0.0,0.0
181,610.8090,610,8090,245,#c0003f,0.6000000000000001,0.0,0.0
183,615.4621,615,4621,245,#c0003f,0.6000000000000001,0.0,0.0
288,.,428,-1,289,#c0003f,0.6000000000000001,0.0,0.0
281,.,441,-1,288,#c0003f,0.6000000000000001,0.0,0.0
242,.,587,-1,281,#ff0000,0.8,0.0,0.0
189,635.2953,635,2953,242,#ff0000,0.8,0.0,0.0
229,.,664,-1,242,#ff0000,0.8,0.0,0.0
224,721.5760,721,5760,229,#ff0000,0.8,0.0,0.0
228,729.6736,729,6736,229,#ff0000,0.8,0.0,0.0
277,.,460,-1,281,#c0003f,0.6000000000000001,0.0,0.0
210,690.5212,690,5212,277,#c0003f,0.6000000000000001,0.0,0.0
275,.,466,-1,277,#c0003f,0.6000000000000001,0.0,0.0
188,622.1725,622,1725,275,#c0003f,0.6000000000000001,0.0,0.0
226,724.2469,724,2469,275,#c0003f,0.6000000000000001,0.0,0.0
282,.,439,-1,288,#c0003f,0.6000000000000001,0.0,0.0
271,.,477,-1,282,#c0003f,0.6000000000000001,0.0,0.0
163,566.6845,566,6845,271,#c0003f,0.6000000000000001,0.0,0.0
269,.,482,-1,271,#c0003f,0.6000000000000001,0.0,0.0
239,.,591,-1,269,#c0003f,0.6000000000000001,0.0,0.0
185,617.4795,617,4795,239,#c0003f,0.6000000000000001,0.0,0.0
235,.,610,-1,239,#c0003f,0.6000000000000001,0.0,0.0
203,672.140,672,140,235,#c0003f,0.6000000000000001,0.0,0.2
207,687.140,687,140,203,#c0003f,0.6000000000000001,0.0,0.2
234,.,614,-1,235,#c0003f,0.6000000000000001,0.0,0.0
214,705.1341,705,1341,234,#c0003f,0.6000000000000001,0.0,0.0
231,.,650,-1,234,#c0003f,0.6000000000000001,0.0,0.0
206,683.1099,683,1099,231,#c0003f,0.6000000000000001,0.0,0.0
230,.,655,-1,231,#c0003f,0.6000000000000001,0.0,0.0
198,664.2021,664,2021,230,#c0003f,0.6000000000000001,0.0,0.0
215,707.2973,707,2973,230,#ff0000,0.8,0.0,0.0
266,.,484,-1,269,#c0003f,0.6000000000000001,0.0,0.0
249,.,519,-1,266,#c0003f,0.6000000000000001,0.0,0.0
165,571.5939,571,5939,249,#c0003f,0.6000000000000001,0.0,0.0
