node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1
0,1.18,1,18,-1,#ff0000,1.7007989172574987
370,.,72,-1,0,#ff0000,1.7007989172574987
362,.,165,-1,370,#ff0000,1.7007989172574987
227,.,1058,-1,362,#ff0000,1.7007989172574987
41,1158.4429,1158,4429,227,#ff0000,1.7007989172574987
55,1362.5091,1362,5091,227,#ff0000,1.7007989172574987
359,.,170,-1,362,#ff0000,1.7007989172574987
54,1357.3326,1357,3326,359,#ff0000,1.7007989172574987
357,.,179,-1,359,#ff0000,1.7007989172574987
335,.,242,-1,357,#ff0000,1.7007989172574987
33,981.3889,981,3889,335,#ff0000,1.7007989172574987
270,.,412,-1,335,#ff0000,1.7007989172574987
85,1864.338,1864,338,270,#ff0000,1.7007989172574987
225,.,1073,-1,270,#ff0000,1.7007989172574987
42,1159.488,1159,488,225,#ff0000,1.7007989172574987
217,.,1303,-1,225,#ff0000,1.7007989172574987
69,1618.3643,1618,3643,217,#ff0000,1.7007989172574987
95,1944.3211,1944,3211,217,#ff0000,1.7007989172574987
353,.,187,-1,357,#ff0000,1.7007989172574987
134,2631.9309,2631,9309,353,#ff0000,1.7007989172574987
352,.,193,-1,353,#ff0000,1.7007989172574987
244,.,678,-1,352,#ff0000,1.7007989172574987
94,1932.2243,1932,2243,244,#ff0000,1.7007989172574987
242,.,699,-1,244,#ff0000,1.7007989172574987
26,831.6898,831,6898,242,#ff0000,1.7007989172574987
196,.,2337,-1,242,#ff0000,1.7007989172574987
142,2825.9379,2825,9379,196,#ff0000,1.7007989172574987
149,2941.2004,2941,2004,196,#ff0000,1.7007989172574987
349,.,198,-1,352,#ff0000,1.7007989172574987
47,1225.7203,1225,7203,349,#ff0000,1.7007989172574987
346,.,209,-1,349,#ff0000,1.7007989172574987
311,.,288,-1,346,#ff0000,1.7007989172574987
158,3007.6192,3007,6192,311,#ff0000,1.7007989172574987
307,.,301,-1,311,#ff0000,1.7007989172574987
10,546.9609,546,9609,307,#ff0000,1.7007989172574987
70,1640.2249,1640,2249,307,#ff0000,1.7007989172574987
344,.,214,-1,346,#ff0000,1.7007989172574987
218,.,1300,-1,344,#ff0000,1.7007989172574987
65,1532.2957,1532,2957,218,#ff0000,1.7007989172574987
119,2314.9519,2314,9519,218,#ff0000,1.7007989172574987
342,.,218,-1,344,#ff0000,1.7007989172574987
188,3475.4067,3475,4067,342,#ff0000,1.7007989172574987
341,.,221,-1,342,#ff0000,1.7007989172574987
173,3262.9476,3262,9476,341,#ff0000,1.7007989172574987
334,.,244,-1,341,#ff0000,1.7007989172574987
15,655.3459,655,3459,334,#ff0000,1.7007989172574987
186,3443.5372,3443,5372,334,#ff0000,1.7007989172574987
338,.,229,-1,341,#ff0000,1.7007989172574987
12,600.5615,600,5615,338,#ff0000,1.7007989172574987
332,.,252,-1,338,#ff0000,1.7007989172574987
159,3024.3210,3024,3210,332,#ff0000,1.7007989172574987
327,.,258,-1,332,#ff0000,1.7007989172574987
24,818.2205,818,2205,327,#ff0000,1.7007989172574987
