node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1
0,1.130,1,130,-1,#0000ff,0.36256164436358207
1,1.1019,1,1019,-1,#0000ff,0.36256164436358207
2,1.5911,1,5911,-1,#ff0000,1.7007989172574987
3,1.8113,1,8113,-1,#860079,1.068140375978358
4,1.9308,1,9308,-1,#d80027,1.4920986070435172
398,.,42,-1,4,#d80027,1.4920986070435172
387,.,93,-1,398,#d80027,1.4920986070435172
362,.,186,-1,387,#d80027,1.4920986070435172
79,1883.7761,1883,7761,362,#d80027,1.4920986070435172
174,3083.4209,3083,4209,362,#d80027,1.4920986070435172
366,.,169,-1,387,#d80027,1.4920986070435172
327,.,282,-1,366,#d80027,1.4920986070435172
115,2339.7338,2339,7338,327,#d80027,1.4920986070435172
119,2415.4841,2415,4841,327,#d80027,1.4920986070435172
349,.,232,-1,366,#d80027,1.4920986070435172
73,1698.5779,1698,5779,349,#d80027,1.4920986070435172
345,.,250,-1,349,#d80027,1.4920986070435172
192,3379.6054,3379,6054,345,#d80027,1.4920986070435172
313,.,320,-1,345,#d80027,1.4920986070435172
38,1140.8779,1140,8779,313,#d80027,1.4920986070435172
310,.,324,-1,313,#d80027,1.4920986070435172
11,696.3237,696,3237,310,#d80027,1.4920986070435172
290,.,377,-1,310,#d80027,1.4920986070435172
7,631.1949,631,1949,290,#d80027,1.4920986070435172
19,807.7416,807,7416,290,#d80027,1.4920986070435172
397,.,55,-1,398,#d80027,1.4920986070435172
394,.,66,-1,397,#d80027,1.4920986070435172
252,.,853,-1,394,#d80027,1.4920986070435172
99,2155.7804,2155,7804,252,#d80027,1.4920986070435172
206,3646.7134,3646,7134,252,#d80027,1.4920986070435172
393,.,70,-1,394,#d80027,1.4920986070435172
147,2776.6839,2776,6839,393,#d80027,1.4920986070435172
392,.,73,-1,393,#d80027,1.4920986070435172
388,.,86,-1,392,#d80027,1.4920986070435172
324,.,285,-1,388,#d80027,1.4920986070435172
123,2442.8768,2442,8768,324,#d80027,1.4920986070435172
236,.,1240,-1,324,#d80027,1.4920986070435172
85,1962.7569,1962,7569,236,#d80027,1.4920986070435172
150,2804.7817,2804,7817,236,#d80027,1.4920986070435172
386,.,93,-1,388,#d80027,1.4920986070435172
53,1368.1137,1368,1137,386,#d80027,1.4920986070435172
381,.,118,-1,386,#d80027,1.4920986070435172
334,.,270,-1,381,#d80027,1.4920986070435172
29,1010.5594,1010,5594,334,#d80027,1.4920986070435172
39,1202.856,1202,856,334,#d80027,1.4920986070435172
380,.,121,-1,381,#d80027,1.4920986070435172
356,.,220,-1,380,#d80027,1.4920986070435172
17,772.2065,772,2065,356,#d80027,1.4920986070435172
138,2714.8586,2714,8586,356,#d80027,1.4920986070435172
373,.,134,-1,380,#d80027,1.4920986070435172
340,.,262,-1,373,#d80027,1.4920986070435172
13,721.1574,721,1574,340,#d80027,1.4920986070435172
148,2784.1746,2784,1746,340,#d80027,1.4920986070435172
363,.,184,-1,373,#d80027,1.4920986070435172
239,.,1184,-1,363,#d80027,1.4920986070435172
117,2374.7397,2374,7397,239,#d80027,1.4920986070435172
168,3023.6838,3023,6838,239,#d80027,1.4920986070435172
359,.,203,-1,363,#d80027,1.4920986070435172
35,1112.7135,1112,7135,359,#d80027,1.4920986070435172
358,.,208,-1,359,#d80027,1.4920986070435172
293,.,361,-1,358,#d80027,1.4920986070435172
282,.,398,-1,293,#d80027,1.4920986070435172
10,689.8445,689,8445,282,#d80027,1.4920986070435172
92,2097.4600,2097,4600,282,#d80027,1.4920986070435172
285,.,387,-1,293,#d80027,1.4920986070435172
65,1585.7853,1585,7853,285,#d80027,1.4920986070435172
280,.,410,-1,285,#d80027,1.4920986070435172
57,1425.6463,1425,6463,280,#d80027,1.4920986070435172
139,2723.1778,2723,1778,280,#d80027,1.4920986070435172
344,.,250,-1,358,#d80027,1.4920986070435172
268,.,520,-1,344,#d80027,1.4920986070435172
208,.,2692,-1,268,#d80027,1.4920986070435172
149,2799.6146,2799,6146,208,#d80027,1.4920986070435172
161,2951.1248,2951,1248,208,#d80027,1.4920986070435172
247,.,881,-1,268,#d80027,1.4920986070435172
130,2545.7889,2545,7889,247,#d80027,1.4920986070435172
134,2613.4286,2613,4286,247,#d80027,1.4920986070435172
336,.,269,-1,344,#d80027,1.4920986070435172
261,.,660,-1,336,#d80027,1.4920986070435172
106,2239.2681,2239,2681,261,#d80027,1.4920986070435172
230,.,1490,-1,261,#d80027,1.4920986070435172
93,2100.328,2100,328,230,#d80027,1.4920986070435172
213,.,2556,-1,230,#d80027,1.4920986070435172
158,2919.3513,2919,3513,213,#d80027,1.4920986070435172
199,3481.302,3481,302,213,#d80027,1.4920986070435172
323,.,291,-1,336,#d80027,1.4920986070435172
