node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1
0,1.1188,1,1188,-1,#860079,1.068140375978358
248,.,195,-1,0,#860079,1.068140375978358
20,1048.7821,1048,7821,248,#860079,1.068140375978358
219,.,284,-1,248,#860079,1.068140375978358
44,1489.1886,1489,1886,219,#860079,1.068140375978358
46,1490.6770,1490,6770,219,#860079,1.068140375978358
1,1.1290,1,1290,-1,#0000ff,0.36256164436358207
2,1.4059,1,4059,-1,#ff0000,1.7007989172574987
257,.,62,-1,2,#ff0000,1.7007989172574987
254,.,157,-1,257,#ff0000,1.7007989172574987
77,2302.7702,2302,7702,254,#ff0000,1.7007989172574987
251,.,174,-1,254,#ff0000,1.7007989172574987
73,2176.5409,2176,5409,251,#ff0000,1.7007989172574987
247,.,200,-1,251,#ff0000,1.7007989172574987
222,.,274,-1,247,#ff0000,1.7007989172574987
58,1789.6272,1789,6272,222,#ff0000,1.7007989172574987
209,.,312,-1,222,#ff0000,1.7007989172574987
120,3468.9100,3468,9100,209,#ff0000,1.7007989172574987
169,.,424,-1,209,#ff0000,1.7007989172574987
117,3392.456,3392,456,169,#ff0000,1.7007989172574987
118,3394.7836,3394,7836,169,#ff0000,1.7007989172574987
244,.,215,-1,247,#ff0000,1.7007989172574987
241,.,220,-1,244,#ff0000,1.7007989172574987
216,.,294,-1,241,#ff0000,1.7007989172574987
152,.,540,-1,216,#ff0000,1.7007989172574987
94,2669.1809,2669,1809,152,#ff0000,1.7007989172574987
100,2806.853,2806,853,152,#ff0000,1.7007989172574987
213,.,299,-1,216,#ff0000,1.7007989172574987
123,3536.2230,3536,2230,213,#ff0000,1.7007989172574987
208,.,312,-1,213,#ff0000,1.7007989172574987
167,.,444,-1,208,#ff0000,1.7007989172574987
5,545.6889,545,6889,167,#ff0000,1.7007989172574987
60,1818.3689,1818,3689,167,#ff0000,1.7007989172574987
183,.,365,-1,208,#ff0000,1.7007989172574987
83,2388.509,2388,509,183,#ff0000,1.7007989172574987
170,.,421,-1,183,#ff0000,1.7007989172574987
