"name","value","percentage"
"VOI GRA (JN.1+JN.1.*) first detected in Luxembourg/Iceland","2133","45.34%"
"VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France","887","18.86%"
"VOI GRA (BA.2.86+BA.2.86.* excluding JN.1, JN.1.*) first detected in Denmark/Israel/USA","501","10.65%"
"VOI GRA (XBB.1.16+XBB.1.16.*) first detected in India","376","7.99%"
"VUM GRA (XBB.2.3+XBB.2.3.*) first detected in India/USA","191","4.06%"
"VOI GRA (XBB.1.5+XBB.1.5.*) first detected in Austria/India/Bangladesh","161","3.42%"
"VUM GRA (XBB.1.9.1+XBB.1.9.1.*) first detected in Indonesia/Israel/Singapore","151","3.21%"
"Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa","122","2.59%"
"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India","88","1.87%"
"VUM GRA (XBB.1.9.2+XBB1.9.2.*) first detected in Indonesia/Egypt","63","1.34%"
"VUM GRA (CH.1.1+CH.1.1.*) first detected in Austria","31","0.66%"
