node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1
0,1.1206,1,1206,-1,#5d00a2,0.4
9033,.,9,-1,0,#5d00a2,0.4
8891,.,18,-1,9033,#5d00a2,0.4
8187,.,31,-1,8891,#5d00a2,0.4
7752,.,35,-1,8187,#5d00a2,0.4
3585,266.7463,266,7463,7752,#5d00a2,0.4
5502,.,145,-1,7752,#5d00a2,0.4
2517,194.11585,194,11585,5502,#5d00a2,0.4
5398,.,168,-1,5502,#5d00a2,0.4
4324,314.8159,314,8159,5398,#5d00a2,0.4
4447,322.12398,322,12398,5398,#5d00a2,0.4
7990,.,33,-1,8187,#5d00a2,0.4
4578,330.6692,330,6692,7990,#5d00a2,0.4
5451,.,155,-1,7990,#5d00a2,0.4
2020,160.12730,160,12730,5451,#5d00a2,0.4
4711,339.1776,339,1776,5451,#5d00a2,0.4
8450,.,27,-1,8891,#5d00a2,0.4
7119,.,40,-1,8450,#5d00a2,0.4
3552,264.6876,264,6876,7119,#5d00a2,0.4
5426,.,160,-1,7119,#5d00a2,0.4
3725,275.12034,275,12034,5426,#5d00a2,0.4
4621,333.5212,333,5212,5426,#5d00a2,0.4
8292,.,29,-1,8450,#5d00a2,0.4
35,35.4802,35,4802,8292,#5d00a2,0.4
6276,.,52,-1,35,#5d00a2,0.4
596,76.764,76,764,6276,#5d00a2,0.4
1689,139.8414,139,8414,6276,#5d00a2,0.4
281,59.2728,59,2728,8292,#5d00a2,0.4
2291,181.1609,181,1609,8292,#5d00a2,0.4
8997,.,12,-1,9033,#5d00a2,0.4
8793,.,21,-1,8997,#5d00a2,0.4
8407,.,28,-1,8793,#5d00a2,0.4
8044,.,32,-1,8407,#5d00a2,0.4
5944,.,74,-1,8044,#5d00a2,0.4
1731,142.7250,142,7250,5944,#5d00a2,0.4
3944,288.2864,288,2864,5944,#5d00a2,0.4
6852,.,43,-1,8044,#5d00a2,0.4
2176,172.630,172,630,6852,#5d00a2,0.4
2499,193.10415,193,10415,6852,#5d00a2,0.4
8330,.,29,-1,8407,#5d00a2,0.4
6164,.,56,-1,8330,#5d00a2,0.4
649,79.1371,79,1371,6164,#5d00a2,0.4
5924,.,76,-1,6164,#5d00a2,0.4
2600,200.2074,200,2074,5924,#5d00a2,0.4
4567,330.1247,330,1247,2600,#5d00a2,0.4
2617,201.5309,201,5309,5924,#5d00a2,0.4
7590,.,36,-1,8330,#5d00a2,0.4
2876,218.11696,218,11696,7590,#5d00a2,0.4
4329,314.11696,314,11696,2876,#5d00a2,0.4
7227,.,39,-1,7590,#5d00a2,0.4
5144,.,274,-1,7227,#5d00a2,0.4
4081,298.7782,298,7782,5144,#5d00a2,0.4
