node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1
0,1.40483,1,40483,-1,#0000ff,0.0
7428,.,2,-1,0,#0000ff,0.0
7424,.,10,-1,7428,#0000ff,0.0
7401,.,19,-1,7424,#0000ff,0.0
7360,.,24,-1,7401,#0000ff,0.0
6955,.,37,-1,7360,#0000ff,0.0
6417,.,43,-1,6955,#0000ff,0.0
5119,.,55,-1,6417,#0000ff,0.0
494,144.22146,144,22146,5119,#0000ff,0.0
1476,318.2777,318,2777,494,#0000ff,0.0
1796,375.53172,375,53172,5119,#0000ff,0.0
5879,.,48,-1,6417,#0000ff,0.0
1065,244.70026,244,70026,5879,#0000ff,0.0
5653,.,50,-1,5879,#0000ff,0.0
739,187.50276,187,50276,5653,#0000ff,0.0
799,198.64521,198,64521,5653,#0000ff,0.0
6806,.,39,-1,6955,#0000ff,0.0
2254,454.49797,454,49797,6806,#0000ff,0.0
5550,.,51,-1,6806,#0000ff,0.0
45,71.57329,71,57329,5550,#0000ff,0.0
2206,446.56207,446,56207,5550,#1500ea,0.02
3669,695.64122,695,64122,5550,#0000ff,0.0
7317,.,27,-1,7360,#0000ff,0.0
6945,.,37,-1,7317,#0000ff,0.0
6209,.,45,-1,6945,#0000ff,0.0
4914,.,59,-1,6209,#0000ff,0.0
186,95.15321,95,15321,4914,#0000ff,0.0
1352,297.58525,297,58525,4914,#0000ff,0.0
5105,.,56,-1,6209,#0000ff,0.0
795,197.58780,197,58780,5105,#0000ff,0.0
1794,375.37922,375,37922,5105,#0000ff,0.0
6702,.,40,-1,6945,#0000ff,0.0
3478,665.38758,665,38758,6702,#0000ff,0.0
4328,.,169,-1,6702,#0000ff,0.0
2384,473.9293,473,9293,4328,#2a00d5,0.04
4097,.,303,-1,4328,#0000ff,0.0
3493,668.43802,668,43802,4097,#3500ca,0.05
3799,715.64576,715,64576,4097,#0000ff,0.0
6602,.,41,-1,6702,#0000ff,0.0
4038,.,344,-1,6602,#0000ff,0.0
2291,459.71347,459,71347,4038,#0000ff,0.0
2823,550.52911,550,52911,4038,#0000ff,0.0
6309,.,44,-1,6602,#0000ff,0.0
4662,.,67,-1,6309,#0000ff,0.0
1658,351.37790,351,37790,4662,#0000ff,0.0
1992,410.42342,410,42342,4662,#0a00f5,0.01
5633,.,50,-1,6309,#0000ff,0.0
4853,.,60,-1,5633,#0000ff,0.0
3802,716.62330,716,62330,4853,#1500ea,0.02
3876,730.55367,730,55367,4853,#0000ff,0.0
5415,.,52,-1,5633,#0000ff,0.0
3078,594.41298,594,41298,5415,#0000ff,0.0
3426,656.24711,656,24711,5415,#4a00b5,0.07
7245,.,31,-1,7317,#0000ff,0.0
6929,.,37,-1,7245,#0000ff,0.0
5393,.,52,-1,6929,#0000ff,0.0
1196,270.26368,270,26368,5393,#0000ff,0.0
4197,.,240,-1,5393,#0000ff,0.0
3299,630.35740,630,35740,4197,#3500ca,0.05
3415,654.35740,654,35740,3299,#3500ca,0.05
3760,709.47807,709,47807,4197,#1500ea,0.02
6271,.,44,-1,6929,#0000ff,0.0
4069,.,320,-1,6271,#1500ea,0.02
1678,355.22993,355,22993,4069,#1500ea,0.02
1838,382.50625,382,50625,4069,#1500ea,0.02
5325,.,53,-1,6271,#0000ff,0.0
1555,331.1512,331,1512,5325,#0000ff,0.0
4538,.,81,-1,5325,#0000ff,0.0
2992,578.11952,578,11952,4538,#4a00b5,0.07
4146,.,271,-1,4538,#1500ea,0.02
2090,426.10975,426,10975,4146,#1500ea,0.02
3770,711.6001,711,6001,4146,#4a00b5,0.07
6744,.,39,-1,6929,#0000ff,0.0
6320,.,44,-1,6744,#0000ff,0.0
774,193.54765,193,54765,6320,#0000ff,0.0
3503,669.56474,669,56474,6320,#1500ea,0.02
6544,.,41,-1,6744,#0000ff,0.0
817,201.14926,201,14926,6544,#0000ff,0.0
4633,.,69,-1,6544,#0000ff,0.0
2962,574.10139,574,10139,4633,#0000ff,0.0
4017,.,368,-1,4633,#0000ff,0.0
2611,516.24030,516,24030,4017,#0000ff,0.0
3362,645.40700,645,40700,4017,#0000ff,0.0
7081,.,35,-1,7245,#0000ff,0.0
2873,559.62324,559,62324,7081,#0000ff,0.0
6887,.,38,-1,7081,#0000ff,0.0
5628,.,50,-1,6887,#0000ff,0.0
341,121.30609,121,30609,5628,#0000ff,0.0
3870,728.68865,728,68865,5628,#2a00d5,0.04
6810,.,39,-1,6887,#0000ff,0.0
5112,.,55,-1,6810,#0000ff,0.0
859,207.71012,207,71012,5112,#0000ff,0.0
3417,654.65077,654,65077,5112,#1500ea,0.02
6722,.,40,-1,6810,#0000ff,0.0
